"","ob.med","lean_ow.med","new_cohort.z","new_cohort.p"
"5-oxoETE",18.66141641,8.203554191,3.09,0.00179532771486431
"12,13-diHOME",0.381623947,0.555767091,-3.08,0.0018546025281838
"9,10-diHOME",0.444476587,0.6608707615,-3.07,0.00191564836022685
"20-HETE",0.229252061,0.142588657,2.55,0.0110468930609148
"14,15-diHETE",12.82736787,6.369544421,2.5,0.0118814768887001
"LTB4",381.6999641,265.9692978,2.37,0.0175422945488345
"9-oxoODE",160.1313084,263.99198845,-2.26,0.0236280103469908
"PGF2a",0.668750254,0.9176392225,-2.22,0.0260236247433935
"12-oxoLTB4",15.42973215,11.759054065,2.21,0.026653981384464
"12(13)-EpOME",2347.499516,3291.9269305,-2.2,0.0272973292831591
"Tetranor-12-HETE",1.081713782,0.5622068065,2.19,0.0286238344699316
"9-HODE",1311.698872,1966.1435005,-2.13,0.0329372082849363
"4-HDHA",17.79643319,23.38771895,-2.09,0.0361085796226137
"Hepoxilin A3",4.403574863,2.6899869175,2.07,0.038679435753515
"8(9)-EET",0.094124661,0.0742718395,2.06,0.03989699510664
"5,15-diHETE",1.215078019,0.901361285,1.95,0.0514816789823643
"11-beta-PGF2a/PGF2b",0.652560871,0.8939346375,-1.93,0.053737693611546
"15-oxoETE",105.8162198,76.75792151,1.91,0.0560746995042661
"PGK2",0.030231888,0.040242327,-1.89,0.058494752779112
"13-oxoODE",563.1842049,884.2339362,-1.88,0.0609999245409011
"13-HOTrE/13-HOTrE(r)",162.0217415,251.45770285,-1.88,0.0609999245409011
"TxB3",0.26435322,0.343484205,-1.87,0.062512285007569
"5,6-diHETrE",1.276875183,0.9300285175,1.77,0.0779359040765465
"13-HODE",33.46663911,45.53056727,-1.71,0.0877238178031832
"LTC4",0.00583597,0.0084789645,-1.7,0.0893194478477006
"17,18-diHETE",1.457530973,1.0203563425,1.69,0.0929728662939382
"8-HETrE",51.57098921,36.7044621,1.58,0.114379958500284
"5,6-diHETE",221.2861599,169.69494175,1.58,0.114379958500284
"19/20-OH PGF2a",0.017396098,0.022651091,-1.54,0.125298286749214
"2,3-dinor TxB2",0.020314507,0.033828806,-1.53,0.127575328446728
"TxB2",0.662007714,0.8694242825,-1.5,0.134597603538624
"8-iso PGF2a",0.673660941,0.893644902,-1.41,0.160147076039737
"11-HETE",801.4886698,701.46159545,1.4,0.162889041290319
"19,20-diHDPA",0.773348806,0.644970221,1.4,0.162889041290319
"11-dehydro TxB2",0.044146831,0.0514953635,-1.31,0.192258948089611
"15-deoxy-delta12,14-PGD2",0.007247971,0.0082937955,-1.3,0.19431110350216
"11,12-diHETrE",3.301082786,2.9459915045,1.3,0.195395138448721
"12-oxoETE",0.53220586,0.405247576,1.28,0.201778469927075
"18-HETE",6.820993775,4.5130383985,1.28,0.201778469927075
"19/20-OH PGE2",0.003735329,0.0057322515,-1.25,0.212417943705159
"9-HOTrE",1.783585682,2.4851346535,-1.21,0.228813871320332
"PGE1/PGD1",0.704961856,0.80004717,-1.18,0.240007132176683
"8-HETE",79.8002673,68.649343865,1.17,0.243248264284366
"PGD3/PGE3",0.518171483,0.5753087755,-1.1,0.272401678544198
"PGB2",0.049898521,0.05818508,-1.08,0.282063444548726
"12-HETE",89.80271656,80.22962563,1.04,0.302950105475724
"13,14-dihydro-15-keto PGD2",3.362076354,2.7864794305,1.04,0.302950105475724
"PGD2",0.794042061,0.865220908,-1.03,0.307246442543934
"5-iPF2a-VI",0.468667873,0.558995223,-1.02,0.311582486370633
"9-HEPE",18.53604346,11.244892275,0.975,0.333858213800412
"9-HETE",57.23063854,49.816104155,0.975,0.333858213800412
"17(18)-EpETE",0.122290099,0.106991005,0.962,0.338469244656148
"13,14-dihydro-15-keto PGF2a",13.139483,16.01211188,-0.92,0.361896031916487
"Bicyclo PGE2",0.069208398,0.0659822895,-0.911,0.366706974873529
"LXB4",0.023067107,0.0253698315,-0.893,0.376446495009054
"20-HDHA",9.769442469,10.0363822975,-0.865,0.391348498881563
"15-keto-PGF2a",0.413658431,0.4839840855,-0.847,0.401477092902812
"11-HEPE",38.78189642,25.02989344,0.829,0.411759697525957
"15-HETE",92.05771458,84.37732756,0.82,0.416958415453752
"RvD1",2.177897838,2.185605181,-0.82,0.416958415453752
"LXA4",0.979976225,1.059487562,-0.792,0.430728672219818
"20-carboxy LTB4",0.685102418,0.8065729615,-0.742,0.460653490556851
"8-HEPE",9.835192248,6.5330347685,0.71,0.482263856028544
"13,14-dihydro PGE1",0.064406972,0.060136371,0.71,0.482263856028544
"15-HETrE",0.364539286,0.366916906,0.692,0.491532008969864
"delta12-PGJ2",0.063881328,0.0752463495,-0.692,0.493658555592628
"11(12)-EET",0.807716256,0.6783191775,0.683,0.499408901725506
"6-keto PGE1",0.041313514,0.048362575,-0.674,0.503195966008833
"17-HDHA",3.301196467,2.588088224,0.615,0.541692769352866
"12-HEPE",14.39472712,9.5445783735,0.601,0.552703415569545
"PGA2/PGJ2",0.05617551,0.051630134,-0.574,0.571061723311863
"8,9-diHETrE",0.739274666,0.6865465455,0.574,0.571061723311863
"14(15)-EET",1.330017969,1.1585151375,0.542,0.590932773936424
"14,15-diHETrE",6.008100493,5.1492053605,0.528,0.602281214811799
"8-HDHA",7.021938015,7.258173034,-0.51,0.61497843040476
"15-deoxy-delta12,14-PGJ2",0.023911065,0.0250543495,-0.506,0.616402258100337
"5-HEPE",30.51111933,31.62326004,-0.501,0.621370403016343
"15-HEPE",11.7533484,8.457230542,0.483,0.634239109250454
"5-HETE",447.1220544,579.62234475,-0.474,0.640715036597516
"14(15)-EpETE",0.337206665,0.386863185,-0.428,0.671873924392939
"PGE2/PGD2",3.7522044,3.416995045,0.41,0.686783391943371
"16(17)-EpDPE",0.482806542,0.423708603,0.383,0.705435131452545
"9(10)-EpOME",25.4739178,28.02233258,-0.374,0.712133600507699
"10-HDHA",25.8192093,26.34444101,-0.346,0.734032352867453
"16-HETE",4.709347573,5.4168511915,-0.337,0.740869251325581
"PGA1",1.836711588,2.0310465495,0.264,0.796252754563538
"7-HDHA",3.25891944,2.9835394265,-0.246,0.810270923122328
"19(20)-EpDPE",1.262344446,1.1957139675,-0.228,0.824349547892586
"14-HDHA",6.764092444,6.737090166,-0.219,0.831410179048852
"16-HDHA",39.63176382,39.79682457,-0.219,0.831410179048852
"5-HETrE",13.02776301,15.22904446,-0.209,0.838484294709506
"11-HDHA",9.736241211,9.325672427,-0.191,0.852670776376523
"13,14-dihydro-15-keto PGA2",0.112339619,0.1055468785,0.182,0.85978203326808
"13,14-dihydro-15-keto PGE2",1.748877921,1.752941384,-0.182,0.85978203326808
"18-HEPE",13.39322059,11.322076355,0.173,0.866904556690828
"6-keto-PGF1a",0.071459671,0.0660038995,-0.109,0.917030212582495
"Maresin1",0.044049583,0.0490479155,-0.0548,0.959928606696389
"6,15-diketo-13,14-dihydro PGF1a",0.012349967,0.0129629375,-0.0364,0.97456600824393
"13-HDHA",23.77179861,23.17319231,-0.0364,0.974707332032998
"PD1",10.62708533,9.9831397925,0.0364,0.974707332032998
"PGF1a",0.369552509,0.3647677795,-0.0182,0.989096150039483
"RvD2",0.530497537,0.4507110275,-0.0182,0.989158818817591
"17-HETE",0.348596106,0.3459930765,0,1
